Date;LREN3.SA;PETR4.SA;VALE3.SA;WEGE3.SA
2005-04-15;10334,453125;3,775114059448242;8,504080772399902;0,8413655161857605
2005-04-18;10334,453125;3,7384891510009766;8,539765357971191;0,8413655161857605
2005-04-19;10334,453125;3,863255023956299;8,741958618164062;0,8413655161857605
2005-04-20;10334,453125;3,813347101211548;8,634912490844727;0,8413655161857605
2005-04-22;10334,453125;3,7469406127929688;8,599231719970703;0,8413655161857605
2005-04-25;10334,453125;3,859227418899536;8,837105751037598;0,8413655161857605
2005-04-26;10334,453125;3,8998782634735107;8,65870189666748;0,8413655161857605
2005-04-27;10334,453125;3,791212797164917;8,504080772399902;0,8413655161857605
2005-04-28;10334,453125;3,698646068572998;8,052116394042969;0,8413655161857605
2005-04-29;10334,453125;3,803286075592041;8,147266387939453;0,8413655161857605
2005-05-02;10334,453125;3,791212797164917;8,087797164916992;0,8413655161857605
2005-05-03;10334,453125;3,775918960571289;8,046170234680176;0,8413655161857605
2005-05-04;10334,453125;3,8326659202575684;8,266203880310059;0,8413655161857605
2005-05-05;10334,453125;3,903902292251587;8,159160614013672;0,8413655161857605
2005-05-06;10334,453125;3,9735286235809326;8,254310607910156;0,8413655161857605
2005-05-09;10334,453125;3,98037052154541;8,385143280029297;0,8413655161857605
2005-05-10;10334,453125;3,8918282985687256;8,111584663391113;0,8413655161857605
2005-05-11;10334,453125;3,8998782634735107;8,052116394042969;0,8413655161857605
2005-05-12;10334,453125;3,823408842086792;7,683405876159668;0,8413655161857605
2005-05-13;10334,453125;3,722792863845825;7,612043857574463;0,8413655161857605
2005-05-16;10334,453125;3,7735042572021484;7,945070743560791;0,8413655161857605
2005-05-17;10334,453125;3,869694232940674;7,968858242034912;0,8413655161857605
2005-05-18;10334,453125;3,9079272747039795;8,414876937866211;0,8413655161857605
2005-05-19;10334,453125;3,9445512294769287;8,385143280029297;0,8413655161857605
2005-05-20;10334,453125;3,952197790145874;8,254310607910156;0,8413655161857605
2005-05-23;10334,453125;3,869694232940674;8,236469268798828;0,8413655161857605
2005-05-24;10334,453125;3,9401228427886963;8,432716369628906;0,8413655161857605
2005-05-25;10334,453125;3,9703097343444824;8,34826946258545;0,8413655161857605
2005-05-27;10334,453125;4,056839466094971;8,401792526245117;0,8413655161857605
2005-05-30;10334,453125;4,085011005401611;8,432716369628906;0,8413655161857605
2005-05-31;10334,453125;4,046777248382568;8,319725036621094;0,8413655161857605
2005-06-01;10334,453125;4,169528007507324;8,539765357971191;0,8413655161857605
2005-06-02;10334,453125;4,189651966094971;8,657510757446289;0,8413655161857605
2005-06-03;10334,453125;4,184820652008057;8,67653751373291;0,8413655161857605
2005-06-06;10334,453125;4,139343738555908;8,468399047851562;0,8413655161857605
2005-06-07;10334,453125;4,03269100189209;8,373249053955078;0,8413655161857605
2005-06-08;10334,453125;4,036716461181641;8,323296546936035;0,8413655161857605
2005-06-09;10334,453125;4,07293701171875;8,230521202087402;0,8413655161857605
2005-06-10;10334,453125;4,09306001663208;8,27810001373291;0,8090046644210815
2005-06-13;10334,453125;4,0713276863098145;8,24836540222168;0,8090046644210815
2005-06-14;10334,453125;4,145380020141602;8,325674057006836;0,8090046644210815
2005-06-15;10334,453125;4,183614253997803;8,379194259643555;0,8090046644210815
2005-06-16;10334,453125;4,245996475219727;8,611126899719238;0,8090046644210815
2005-06-17;10334,453125;4,334537982940674;8,776450157165527;0,8629377484321594
2005-06-20;10334,453125;4,398934364318848;8,657510757446289;0,8629377484321594
2005-06-21;10334,453125;4,3824334144592285;8,408927917480469;0,8629377484321594
2005-06-22;10334,453125;4,427104949951172;8,356596946716309;0,8090046644210815
2005-06-23;10334,453125;4,354259014129639;8,123477935791016;0,8090046644210815
2005-06-24;10334,453125;4,286242485046387;7,968858242034912;0,8090046644210815
2005-06-27;253,6507568359375;4,4593024253845215;8,182947158813477;0,8090046644210815
2005-06-28;253,6507568359375;4,406980991363525;8,395846366882324;0,8090046644210815
2005-06-29;253,6507568359375;4,3711628913879395;8,325674057006836;0,8090046644210815
2005-06-30;253,6507568359375;4,318439960479736;8,242416381835938;0,8090046644210815
2005-07-01;0,9043166637420654;4,437183380126953;8,383952140808105;0,8090046644210815
2005-07-04;0,9280414581298828;4,433493614196777;8,37443733215332;0,8090046644210815
2005-07-05;0,9019683599472046;4,482710361480713;8,330431938171387;0,8090046644210815
2005-07-06;0,892572820186615;4,466713905334473;8,533814430236816;0,8090046644210815
2005-07-07;0,897270143032074;4,371973514556885;8,526680946350098;0,8090046644210815
2005-07-08;0,9043166637420654;4,4503092765808105;8,77763843536377;0,8090046644210815
2005-07-11;0,9160611033439636;4,428982257843018;8,825215339660645;0,8090046644210815
2005-07-12;0,9254570603370667;4,511417388916016;8,783587455749512;0,8090046644210815
2005-07-13;0,9278061389923096;4,5040364265441895;8,919173240661621;0,8090046644210815
2005-07-14;0,9395503997802734;4,429393291473389;8,837105751037598;0,8090046644210815
2005-07-15;0,9395503997802734;4,298151969909668;8,623016357421875;0,8090046644210815
2005-07-18;0,9416645169258118;4,269442081451416;8,64323902130127;0,8090046644210815
2005-07-19;0,9395503997802734;4,285847187042236;8,846623420715332;0,8090046644210815
2005-07-20;0,9489455223083496;4,306353569030762;9,048816680908203;0,8090046644210815
2005-07-21;0,9630386829376221;4,361721038818359;9,277179718017578;0,8090046644210815
2005-07-22;0,9865276217460632;4,425290584564209;9,408008575439453;0,8090046644210815
2005-07-25;0,9583408832550049;4,330960750579834;9,393738746643066;0,8090046644210815
2005-07-26;0,9559919834136963;4,345315456390381;9,323565483093262;0,8090046644210815
2005-07-27;0,9630386829376221;4,456460952758789;9,348543167114258;0,8090046644210815
2005-07-28;0,9677362442016602;4,527823448181152;9,396119117736816;0,8090046644210815
