Date;AAPL;KO;META;MS;MSFT
2008-01-02;5.922567367553711;19.046688079833984;;37.57778549194336;25.791210174560547
2008-01-03;5.9253034591674805;19.24622917175293;;37.570411682128906;25.901058197021484
2008-01-04;5.472995758056641;19.283632278442383;;36.36083984375;25.176090240478516
2008-01-07;5.399737358093262;19.738840103149414;;35.63068771362305;25.344518661499023
2008-01-08;5.205502033233643;19.819902420043945;;34.22197723388672;24.49506950378418
2008-01-09;5.453237056732178;20.349929809570312;;35.4089469909668;25.220033645629883
2008-01-10;5.411290168762207;20.440345764160156;;35.91340637207031;25.139476776123047
2008-01-11;5.249272346496582;19.882259368896484;;35.8985710144043;24.83191680908203
2008-01-14;5.434391975402832;20.047502517700195;;36.276939392089844;25.183412551879883
2008-01-15;5.138322830200195;19.83237075805664;;34.96383285522461;24.8978271484375
2008-01-16;4.8525896072387695;19.533061981201172;;35.15671157836914;24.333961486816406
2008-01-17;4.89058780670166;19.342880249023438;;33.56913375854492;24.246091842651367
2008-01-18;4.904873371124268;18.93756103515625;;33.465267181396484;24.172855377197266
2008-01-22;4.731001853942871;18.329591751098633;;36.002437591552734;23.403953552246094
2008-01-23;4.227322101593018;18.35453224182129;;38.354129791259766;23.38198471069336
2008-01-24;4.1218438148498535;18.669431686401367;;38.005455017089844;24.348608016967773
2008-01-25;3.951925039291382;18.211111068725586;;36.269508361816406;24.121599197387695
2008-01-28;3.951925039291382;18.52289581298828;;36.78880310058594;23.960494995117188
2008-01-29;3.998433828353882;18.254758834838867;;36.69234848022461;23.872617721557617
2008-01-30;4.017887592315674;18.01157569885254;;36.07661056518555;23.57969856262207
2008-01-31;4.1145501136779785;18.395063400268555;;36.60334014892578;23.872617721557617
2008-02-01;4.065610408782959;18.476123809814453;;35.79471969604492;22.298200607299805
2008-02-04;4.001775741577148;18.279705047607422;;35.63148880004883;22.107805252075195
2008-02-05;3.9321656227111816;17.896211624145508;;33.79911422729492;21.287639617919922
2008-02-06;3.708444118499756;17.99286651611328;;33.34657287597656;20.884885787963867
2008-02-07;3.6853432655334473;18.223581314086914;;33.294647216796875;20.59197235107422
2008-02-08;3.814227342605591;18.473007202148438;;32.0409049987793;20.914175033569336
2008-02-11;3.934901714324951;18.550947189331055;;31.551271438598633;20.657869338989258
2008-02-12;3.795379400253296;18.681900024414062;;31.684825897216797;20.75306510925293
2008-02-13;3.9333834648132324;18.51665687561035;;32.07057571411133;21.207094192504883
2008-02-14;3.8744125366210938;18.254758834838867;;31.618043899536133;20.8702335357666
2008-02-15;3.78838849067688;18.320236206054688;;31.39548110961914;20.8116512298584
2008-02-19;3.713916301727295;18.11445426940918;;30.77975082397461;20.708730697631836
2008-02-20;3.763768196105957;18.15498924255371;;32.30796432495117;20.7454891204834
2008-02-21;3.6944620609283447;18.080167770385742;;32.02606201171875;20.657272338867188
2008-02-22;3.6312365531921387;18.16434669494629;;32.78275680541992;20.3485164642334
2008-02-25;3.639747381210327;18.323348999023438;;33.591373443603516;20.46613883972168
2008-02-26;3.621812343597412;18.557186126708984;;33.33174514770508;20.863109588623047
2008-02-27;3.737626552581787;18.722429275512695;;34.03649139404297;20.774892807006836
2008-02-28;3.948885202407837;18.538480758666992;;32.938568115234375;20.532299041748047
2008-02-29;3.800243377685547;18.22669792175293;;31.247106552124023;19.995656967163086
2008-03-03;3.700237274169922;18.40130043029785;;30.84649658203125;19.84127426147461
2008-03-04;3.7880849838256836;18.510419845581055;;30.675872802734375;20.2823543548584
2008-03-05;3.784132719039917;18.607072830200195;;30.764894485473633;20.671979904174805
2008-03-06;3.675920009613037;18.426239013671875;;29.429553985595703;20.267650604248047
2008-03-07;3.716043710708618;18.348291397094727;;29.570514678955078;20.48819351196289
2008-03-10;3.6382272243499756;18.289052963256836;;28.413206100463867;20.620519638061523
2008-03-11;3.8710691928863525;18.54159927368164;;31.521604537963867;21.524734497070312
2008-03-12;3.830944299697876;18.572975158691406;;30.423635482788086;21.046890258789062
2008-03-13;3.8890013694763184;18.491397857666016;;30.86134147644043;21.0395450592041
2008-03-14;3.848574161529541;18.052093505859375;;29.340530395507812;20.554357528686523
2008-03-17;3.8522210121154785;18.102296829223633;;26.988842010498047;20.804304122924805
2008-03-18;4.03734016418457;18.642011642456055;;31.796077728271484;21.627656936645508
2008-03-19;3.9415910243988037;18.81458854675293;;32.233795166015625;21.0395450592041
2008-03-20;4.051019191741943;19.153484344482422;;36.84815216064453;21.451221466064453
2008-03-24;4.24130392074585;19.197412490844727;;36.165653228759766;21.443872451782227
2008-03-25;4.285379886627197;19.269580841064453;;36.6849365234375;21.42180824279785
2008-03-26;4.4094014167785645;19.187997817993164;;35.453453063964844;20.99543571472168
2008-03-27;4.263191223144531;19.238203048706055;;33.89555358886719;20.620519638061523
2008-03-28;4.347087383270264;19.12209701538086;;33.1907844543457;20.517595291137695
2008-03-31;4.361979961395264;19.10013771057129;;33.90296173095703;20.863109588623047
2008-04-01;4.545273780822754;19.278989791870117;;36.23984146118164;21.686458587646484
2008-04-02;4.483267307281494;18.971485137939453;;36.417869567871094;21.436521530151367
2008-04-03;4.608502388000488;19.00286102294922;;36.262088775634766;21.31888771057129
2008-04-04;4.653186321258545;18.905593872070312;;35.31250762939453;21.436521530151367
2008-04-07;4.738603115081787;18.94324493408203;;35.675994873046875;21.436521530151367
2008-04-08;4.645890235900879;18.9871768951416;;35.32733154296875;21.135116577148438
2008-04-09;4.603334426879883;19.071895599365234;;34.39472198486328;21.238035202026367
2008-04-10;4.697868347167969;19.244478225708008;;33.15622329711914;21.39975929260254
